Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
Analyst,7.0,"79.0%
17/79
Spectroscopy",17731,2541,83,0.691,0.617,Royal Society of Chemistry
Journal of Luminescence,7.0,"83.0%
75/443
Condensed Matter Physics",19158,2745,88,0.886,0.585,Elsevier
Diamond and Related Materials,7.0,"83.0%
42/246
General Physics and Astronomy",22175,3187,80,1.006,0.792,Elsevier
Poultry Science,7.0,"95.0%
23/509
Animal Science and Zoology",25251,3618,80,1.368,1.063,Elsevier
Vacuum,7.0,"84.0%
27/174
Instrumentation",23717,3410,83,1.154,0.783,Elsevier
Frontiers in Environmental Science,7.0,"79.0%
49/240
General Environmental Science",37217,5343,82,0.893,0.859,Frontiers Media S.A.
Complexity,7.0,"90.0%
20/200
",15926,2265,85,0.813,0.433,John Wiley & Sons
ACS Applied Polymer Materials,6.9,"78.0%
46/212
Organic Chemistry",27227,3973,78,0.908,0.981,American Chemical Society
iScience,6.9,"89.0%
21/200
",63057,9105,77,1.0,1.363,Elsevier
Metabolites,6.9,"73.0%
66/247
Oncology",145364,20973,80,0.86,1.075,Frontiers Media S.A.
Proceedings of the Royal Society B: Biological Sciences,6.9,"91.0%
58/668
General Medicine",15420,2249,81,1.362,1.45,Royal Society Publishing
Journal of Food Processing and Preservation,6.9,"77.0%
90/404
Food Science",17344,2505,92,0.723,0.573,John Wiley & Sons
Journal of Fluid Mechanics,6.8,"92.0%
49/665
Applied Mathematics",30908,4522,80,1.671,1.471,Cambridge University Press
Optical Materials,6.8,"80.0%
194/970
Electrical and Electronic Engineering",36169,5357,80,0.953,0.699,Elsevier
Physical Review Research,6.8,"82.0%
43/246
General Physics and Astronomy",34927,5137,79,1.169,1.593,American Physical Society
Journal of Solid State Chemistry,6.8,"81.0%
82/443
Condensed Matter Physics",18495,2720,84,0.702,0.629,Elsevier
Food Bioscience,6.8,"77.0%
92/404
Food Science",31200,4563,74,1.207,1.108,Elsevier
Journal of the American Academy of Dermatology,6.8,"91.0%
13/147
Dermatology",21023,3107,72,1.437,1.315,Elsevier
Polymer Bulletin,6.7,"80.0%
86/443
Condensed Matter Physics",15806,2364,81,0.952,0.658,Springer Nature
Industrial and Engineering Chemistry Research,6.7,"80.0%
79/402
Industrial and Manufacturing Engineering",43891,6591,79,0.931,0.828,American Chemical Society
Journal of Geophysical Research: Atmospheres,6.7,"88.0%
21/177
Geophysics",20801,3110,78,1.128,1.545,John Wiley & Sons
Inorganic Chemistry Communications,6.7,"72.0%
52/187
Physical and Theoretical Chemistry",31521,4677,79,0.885,0.758,Elsevier
Agronomy,6.7,"84.0%
66/414
Organic Chemistry",50340,7521,81,0.844,0.981,John Wiley & Sons
Scientific Reports,6.7,"89.0%
22/200
",658772,98257,75,1.213,0.874,Springer Nature
Wireless Personal Communications,6.6,"78.0%
205/970
Electrical and Electronic Engineering",23653,3580,77,0.915,0.532,Springer Nature
Frontiers in Neuroscience,6.6,"66.0%
38/111
General Neuroscience",46052,7017,82,0.953,1.068,Frontiers Media S.A.
Structures,6.5,"94.0%
11/203
Architecture",43262,6631,77,1.525,1.085,Elsevier
Information (Switzerland),6.5,"74.0%
122/474
Atomic and Molecular Physics, and Optics",40547,6193,78,1.108,0.971,Optica Publishing Group
Arabian Journal for Science and Engineering,6.5,"88.0%
23/200
",25733,3986,83,1.003,0.521,Springer Nature
Medical Physics,6.4,"84.0%
54/346
Radiology, Nuclear Medicine and Imaging",16216,2550,79,1.283,0.986,John Wiley & Sons
Journal of Arthroplasty,6.4,"88.0%
40/332
Orthopedics and Sports Medicine",15508,2439,82,1.616,1.951,Elsevier
Journal of Physics D: Applied Physics,6.4,"87.0%
7/51
Acoustics and Ultrasonics",25554,4004,81,0.974,0.65,Institute of Physics Publishing
Materials,6.4,"79.0%
91/443
Atomic and Molecular Physics, and Optics",92097,14308,78,1.247,0.93,Optica Publishing Group (formerly OSA)
Clinical Oral Investigations,6.3,"88.0%
16/135
General Dentistry",16499,2608,79,1.46,0.983,Springer Nature
Journal of the Franklin Institute,6.3,"90.0%
61/665
Applied Mathematics",15007,2369,76,1.096,0.994,Elsevier
Agriculture (Switzerland),6.3,"83.0%
86/534
General Psychology",137677,21946,79,1.213,0.872,Frontiers Media S.A.
Journal of Physical Chemistry C,6.2,"74.0%
34/132
Surfaces, Coatings and Films",59841,9680,81,0.801,0.914,American Chemical Society
Nanotechnology,6.2,"79.0%
151/720
Mechanical Engineering",23953,3837,83,0.615,0.597,Institute of Physics Publishing
Physica A: Statistical Mechanics and its Applications,6.2,"92.0%
22/293
Statistics and Probability",20233,3279,79,1.081,0.669,Elsevier
Physical Review B,6.2,"77.0%
100/443
Condensed Matter Physics",123689,20077,79,0.962,1.303,American Physical Society
Frontiers in Psychiatry,6.2,"78.0%
127/580
Psychiatry and Mental Health",59327,9496,77,1.074,1.192,Frontiers Media S.A.
Frontiers in Genetics,6.2,"69.0%
31/100
Genetics (clinical)",55811,8931,85,0.745,0.863,Frontiers Media S.A.
Frontiers in Sustainable Food Systems,6.2,"90.0%
12/126
Horticulture",18015,2927,73,1.099,0.791,Frontiers Media S.A.
"Computers, Materials and Continua",6.1,"86.0%
51/361
Modeling and Simulation",26404,4307,75,0.675,0.431,Tech Science Press
Applied Physics Letters,6.1,"85.0%
13/87
Physics and Astronomy (miscellaneous)",57733,9442,78,1.001,0.896,American Institute of Physics
Journal of Organic Chemistry,6.1,"73.0%
57/212
Organic Chemistry",40674,6689,82,0.859,0.737,American Chemical Society
Journal of the Electrochemical Society,6.1,"77.0%
102/443
Condensed Matter Physics",32495,5305,79,0.76,0.774,Institute of Physics Publishing
BMC Geriatrics,6.1,"72.0%
34/120
Geriatrics and Gerontology",21718,3574,76,1.397,1.335,Springer Nature
Journal of Alzheimer's Disease,6.1,"82.0%
56/313
Clinical Psychology",19501,3223,78,0.83,1.166,SAGE
International Journal of Food Science and Technology,6.1,"76.0%
93/402
Industrial and Manufacturing Engineering",17336,2845,80,0.823,0.723,Oxford University Press
Electronics (Switzerland),6.1,"76.0%
228/970
Condensed Matter Physics",42748,7164,78,0.837,0.763,American Chemical Society
Dalton Transactions,6.0,"64.0%
29/81
Inorganic Chemistry",44396,7376,80,0.691,0.653,Royal Society of Chemistry
Open Forum Infectious Diseases,6.0,"73.0%
94/357
Infectious Diseases",16321,2699,75,1.026,1.441,Oxford University Press
IEEE Transactions on Electron Devices,6.0,"75.0%
238/970
Electrical and Electronic Engineering",25685,4306,79,1.389,0.788,IEEE
BMC Public Health,6.0,"81.0%
126/687
Public Health, Environmental and Occupational Health",64433,10728,73,1.387,1.359,Springer Nature
BMC Infectious Diseases,6.0,"72.0%
98/357
Infectious Diseases",27146,4517,73,1.16,1.035,Springer Nature
Water (Switzerland),6.0,"87.0%
32/257
General Medicine",71420,11927,74,1.01,0.962,Frontiers Media S.A.
Chemical Physics Letters,5.9,"80.0%
49/246
General Physics and Astronomy",15699,2673,78,0.687,0.546,Elsevier
Physical Review C,5.9,"80.0%
18/91
Nuclear and High Energy Physics",22098,3757,80,1.227,1.096,American Physical Society
Physical Review Materials,5.9,"84.0%
14/87
Physics and Astronomy (miscellaneous)",15606,2649,79,1.002,0.945,American Physical Society
BMC Genomics,5.9,"64.0%
125/348
Genetics",22088,3727,75,0.967,1.003,Springer Nature
International Journal of Advanced Manufacturing Technology,5.9,"77.0%
163/720
Mechanical Engineering",47809,8092,79,1.171,0.706,Springer Nature
BMC Psychiatry,5.8,"75.0%
145/580
Psychiatry and Mental Health",19113,3300,74,1.309,1.375,Springer Nature
Journal of Applied Polymer Science,5.8,"72.0%
37/132
Surfaces, Coatings and Films",35769,6164,82,0.7,0.572,John Wiley & Sons
Materials Today Communications,5.8,"72.0%
113/403
Mechanics of Materials",53586,9284,76,1.002,0.788,Elsevier
Frontiers in Marine Science,5.8,"86.0%
35/257
Aquatic Science",48982,8414,80,0.986,0.931,Frontiers Media S.A.
BMC Cancer,5.7,"69.0%
129/415
Oncology",30963,5431,77,0.964,1.178,Springer Nature
Fermentation,5.7,"81.0%
101/534
Surgery",21104,3679,80,1.288,1.023,Springer Nature
Crystal Growth and Design,5.6,"74.0%
113/443
Condensed Matter Physics",18736,3323,80,0.901,0.633,American Chemical Society
Annals of Surgical Oncology,5.6,"91.0%
49/568
Surgery",22110,3939,73,1.09,1.152,Springer Nature
Supportive Care in Cancer,5.6,"91.0%
14/165
Rehabilitation",17799,3188,78,1.13,1.109,Springer Nature
Brain Sciences,5.6,"56.0%
49/111
Condensed Matter Physics",15210,2760,74,0.887,0.76,John Wiley & Sons
European Physical Journal Plus,5.5,"79.0%
52/246
General Physics and Astronomy",26304,4758,74,0.934,0.487,Springer Nature
Advances in Space Research,5.5,"81.0%
34/177
Geophysics",15544,2817,80,1.288,0.704,Elsevier
Education Sciences,5.5,"84.0%
39/254
Ecology, Evolution, Behavior and Systematics",19048,3484,84,0.919,0.846,Frontiers Media S.A.
Genes,5.5,"61.0%
39/100
Public Health, Environmental and Occupational Health",85937,15758,74,1.04,1.027,Frontiers Media S.A.
Frontiers in Cardiovascular Medicine,5.5,"75.0%
99/397
Cardiology and Cardiovascular Medicine",51304,9281,78,0.898,0.975,Frontiers Media S.A.
PLOS ONE,5.4,"86.0%
28/200
",341421,62774,72,1.065,0.803,Public Library of Science
Soft Matter,5.4,"72.0%
122/443
Condensed Matter Physics",18629,3468,79,0.779,0.684,Royal Society of Chemistry
Materials Letters,5.4,"74.0%
182/720
Mechanical Engineering",42937,7925,80,0.664,0.591,Elsevier
Coatings,5.4,"66.0%
45/132
General Physics and Astronomy",41224,7847,77,0.911,0.819,American Institute of Physics
Journal of Physical Chemistry B,5.3,"64.0%
47/132
Surfaces, Coatings and Films",22965,4345,79,0.811,0.742,American Chemical Society
Physical Chemistry Chemical Physics,5.3,"75.0%
60/246
General Physics and Astronomy",57812,10957,78,0.795,0.698,Royal Society of Chemistry
Metals,5.3,"78.0%
39/175
Condensed Matter Physics",15910,3088,78,0.619,0.52,Royal Society of Chemistry
Organic and Biomolecular Chemistry,5.2,"63.0%
77/212
Organic Chemistry",21986,4198,78,0.712,0.6,Royal Society of Chemistry
Natural Product Research,5.2,"78.0%
114/534
Plant Science",16092,3073,88,0.787,0.398,Taylor & Francis
Entropy,5.2,"92.0%
7/89
Neurology (clinical)",51430,9830,76,1.007,0.993,Frontiers Media S.A.
Journal of Clinical Medicine,5.2,"86.0%
90/668
General Psychology",34036,6571,73,1.223,1.024,Springer Nature
Journal of Applied Physics,5.1,"79.0%
18/87
Physics and Astronomy (miscellaneous)",34768,6876,75,0.979,0.58,American Institute of Physics
Journal of Magnetism and Magnetic Materials,5.1,"70.0%
129/443
Condensed Matter Physics",21452,4169,78,0.922,0.521,Elsevier
Physical Review A,5.1,"64.0%
83/232
Atomic and Molecular Physics, and Optics",46901,9281,77,0.942,1.033,American Physical Society
BMC Pregnancy and Childbirth,5.1,"79.0%
44/210
Obstetrics and Gynecology",18036,3514,75,1.281,1.069,Springer Nature
Journal of Materials Science: Materials in Electronics,5.1,"70.0%
287/970
Electrical and Electronic Engineering",45995,9007,77,0.712,0.529,Springer Nature
Horticulturae,5.1,"88.0%
15/126
General Veterinary",34720,6826,74,1.059,0.783,Frontiers Media S.A.
New Journal of Chemistry,5.0,"63.0%
147/404
General Chemistry",44294,8842,78,0.521,0.493,Royal Society of Chemistry
Physica B: Condensed Matter,5.0,"69.0%
294/970
Electrical and Electronic Engineering",15454,3089,74,0.862,0.506,Elsevier
Environmental Monitoring and Assessment,5.0,"70.0%
72/240
General Environmental Science",22938,4551,77,0.82,0.69,Springer Nature
Crystals,5.0,"68.0%
139/443
Economics and Econometrics",24364,4841,74,0.7,0.553,Frontiers Media S.A.
Cancer Medicine,5.0,"73.0%
92/346
Radiology, Nuclear Medicine and Imaging",20759,4151,75,0.878,1.201,John Wiley & Sons
Mathematical Methods in the Applied Sciences,4.9,"93.0%
29/414
General Mathematics",16680,3400,71,1.027,0.63,John Wiley & Sons
Biochemical and Biophysical Research Communications,4.9,"58.0%
63/152
Biophysics",25948,5323,74,0.555,0.748,Elsevier
Applied Physics A: Materials Science and Processing,4.9,"63.0%
149/404
General Chemistry",18801,3823,76,0.75,0.486,Springer Nature
Atmosphere,4.9,"69.0%
82/271
General Agricultural and Biological Sciences",15664,3263,80,0.962,0.606,Chinese Society of Agricultural Engineering
Journal of Physical Chemistry A,4.8,"51.0%
91/187
Physical and Theoretical Chemistry",18879,3898,77,0.867,0.634,American Chemical Society
Optics Communications,4.8,"68.0%
308/970
Electrical and Electronic Engineering",15537,3261,78,0.864,0.526,Elsevier
BMC Health Services Research,4.8,"75.0%
80/320
Health Policy",28666,5966,71,1.306,1.174,Springer Nature
Machines,4.7,"82.0%
28/160
Mathematical Physics",16091,3469,74,0.9,0.483,Frontiers Media S.A.
BMJ Open,4.5,"84.0%
104/668
General Medicine",78823,17349,71,0.944,1.016,BMJ Publishing Group
Measurement Science and Technology,4.4,"82.0%
117/665
Applied Mathematics",17003,3822,73,1.057,0.585,Institute of Physics Publishing
BMC Medical Education,4.4,"83.0%
108/668
General Medicine",17544,3970,65,1.562,0.947,Springer Nature
Journal of Materials Engineering and Performance,4.4,"66.0%
239/720
Mechanical Engineering",16697,3763,80,0.907,0.549,Springer Nature
Minerals,4.4,"77.0%
75/330
General Earth and Planetary Sciences",26464,6110,77,0.73,0.64,Frontiers Media S.A.
Frontiers in Pediatrics,4.3,"76.0%
81/342
Pediatrics, Perinatology and Child Health",28446,6678,74,0.941,0.738,Frontiers Media S.A.
PeerJ,4.3,"83.0%
114/668
General Medicine",35134,8107,73,0.799,0.625,PeerJ Inc.
Physical Review E,4.2,"83.0%
50/293
Statistics and Probability",29365,7022,74,0.884,0.705,American Physical Society
BMC Musculoskeletal Disorders,4.2,"72.0%
93/332
Orthopedics and Sports Medicine",17491,4205,72,1.197,0.805,Springer Nature
Journal of Intelligent and Fuzzy Systems,4.2,"82.0%
51/293
Statistics and Probability",18185,4377,71,0.621,0.364,SAGE
Heliyon,4.1,"80.0%
39/200
",140775,34462,64,1.123,0.644,Elsevier
Medicina (Lithuania),4.1,"81.0%
123/668
Nature and Landscape Conservation",20778,5208,70,0.966,0.858,John Wiley & Sons
BMC Oral Health,3.9,"69.0%
42/135
General Dentistry",15205,3867,69,1.359,0.843,Springer Nature
Children,3.8,"72.0%
95/342
Engineering (miscellaneous)",19970,5434,72,0.803,0.451,Optica Publishing Group
SAGE Open,3.6,"96.0%
7/176
General Arts and Humanities",15065,4240,60,0.977,0.514,SAGE
World Neurosurgery,3.5,"74.0%
148/568
Surgery",21956,6215,70,0.943,0.709,Elsevier
Physica Scripta,3.1,"72.0%
25/89
Mathematical Physics",25754,8370,58,0.737,0.388,Institute of Physics Publishing
AIMS Mathematics,3.1,"85.0%
60/414
General Mathematics",16209,5169,59,0.79,0.483,AIMS Press
ChemistrySelect,3.0,"45.0%
219/404
General Chemistry",24390,8238,64,0.434,0.366,John Wiley & Sons
AIP Advances,2.6,"48.0%
126/246
General Physics and Astronomy",16246,6246,63,0.602,0.32,American Institute of Physics
Medicine (United States),2.5,"66.0%
225/668
General Medicine",41164,16577,61,0.577,0.469,Wolters Kluwer Health
Plant Cell,15.7,"97.0%
12/534
Plant Science",17651,1124,79,2.246,3.704,American Society of Plant Biologists
Chinese Chemical Letters,15.7,"92.0%
29/404
General Chemistry",57724,3681,95,1.253,1.677,Elsevier
Journal of Clinical Endocrinology and Metabolism,11.5,"92.0%
20/247
Endocrinology, Diabetes and Metabolism",28337,2461,92,1.767,2.183,Endocrine Society
Engineering Structures,11.2,"92.0%
29/407
General Chemistry",22398,1995,93,1.022,1.05,Elsevier
International Journal of Nanomedicine,10.9,"93.0%
10/152
Physical and Theoretical Chemistry",19110,1748,84,1.243,1.558,Elsevier
World Journal of Gastroenterology,8.1,"88.0%
20/173
Organic Chemistry",16637,2083,85,0.918,0.93,John Wiley & Sons
Journal of Interpersonal Violence,8.0,"91.0%
28/313
Organic Chemistry",73958,9232,86,0.999,0.628,Elsevier
Journal of Geophysical Research: Solid Earth,7.9,"94.0%
10/177Geophysics",19069,2406,84,1.538,1.82,John Wiley & Sons
Journal of King Saud University - Science,7.9,"91.0%
17/200
Geophysics",19069,2406,84,1.538,1.82,John Wiley & Sons
Information Fusion,24.1,"99.0%
2/224
Organic Chemistry",114543,4766,95,2.03,2.004,Elsevier
PLOS Medicine,20.8,"98.0%
12/668
General Medicine",17467,840,89,3.211,4.279,Public Library of Science
Bioresource Technology,20.7,"97.0%
6/219
General Environmental Science",393051,18950,92,2.231,2.174,Elsevier
Environmental Pollution,16.0,"98.0%
3/131
Electrical and Electronic Engineering",25462,1597,79,1.679,2.885,Royal Society of Chemistry
Journal of the European Ceramic Society,11.5,"88.0%
38/324
Materials Chemistry",38315,3332,92,1.708,1.3,Elsevier
Measurement: Journal of the International Measurement Confederation,11.5,"94.0%
10/174
Instrumentation",69211,6024,88,1.814,1.244,Elsevier
Polymers,9.7,"85.0%
58/404
Oncology",121190,105,94,201.167,145.004,John Wiley & Sons
Journal of Environmental Sciences (China),15.2,"96.0%
9/240
Chemical Engineering (miscellaneous)",19820,1305,89,1.521,1.618,Elsevier
